TransactionID,TransactionDate,CreditType,VerificationStandard,Vintage,Quantity,MarketSupply_SameType,MarketDemand_RecentVolume,PricePerCredit
31,2024-05-10,RenewableEnergy,VERRA,2022,200,88000,90000,0.73
32,2024-05-14,Forestry,VERRA,2021,750,79000,99000,0.82
33,2024-05-18,RenewableEnergy,GoldStandard,2023,1150,86000,87000,0.70
34,2024-05-22,Forestry,GoldStandard,2022,400,77000,96000,0.88
35,2024-05-26,RenewableEnergy,VERRA,2021,550,84000,93000,0.78
36,2024-05-30,Forestry,VERRA,2023,300,81000,98000,0.83
37,2024-06-03,RenewableEnergy,GoldStandard,2022,850,90000,89000,0.72
38,2024-06-07,Forestry,GoldStandard,2021,180,78000,100000,0.92
39,2024-06-11,RenewableEnergy,VERRA,2023,950,87000,91000,0.74
40,2024-06-15,Forestry,VERRA,2022,650,75000,97000,0.87
41,2024-06-19,RenewableEnergy,GoldStandard,2021,450,85000,92000,0.75
42,2024-06-23,Forestry,GoldStandard,2023,750,80000,95000,0.82
43,2024-06-27,RenewableEnergy,VERRA,2022,1200,92000,86000,0.69
44,2024-07-01,Forestry,VERRA,2021,250,77000,99000,0.90
45,2024-07-05,RenewableEnergy,GoldStandard,2023,500,86000,90000,0.73
46,2024-07-09,Forestry,GoldStandard,2022,450,79000,98000,0.83
47,2024-07-13,RenewableEnergy,VERRA,2021,800,83000,94000,0.81
48,2024-07-17,Forestry,VERRA,2023,150,75000,96000,0.89
49,2024-07-21,RenewableEnergy,GoldStandard,2022,1100,89000,88000,0.71
50,2024-07-25,Forestry,GoldStandard,2021,350,80000,97000,0.84
51,2024-07-29,RenewableEnergy,VERRA,2023,600,85000,92000,0.75
52,2024-08-02,Forestry,VERRA,2022,900,76000,95000,0.91
53,2024-08-06,RenewableEnergy,GoldStandard,2021,200,88000,90000,0.73
54,2024-08-10,Forestry,GoldStandard,2023,750,79000,99000,0.82
55,2024-08-14,RenewableEnergy,VERRA,2022,1050,86000,87000,0.70
56,2024-08-18,Forestry,VERRA,2021,400,77000,96000,0.88
57,2024-08-22,RenewableEnergy,GoldStandard,2023,550,84000,93000,0.78
58,2024-08-26,Forestry,GoldStandard,2022,300,81000,98000,0.83
59,2024-08-30,RenewableEnergy,VERRA,2021,1150,90000,89000,0.72
60,2024-09-03,Forestry,VERRA,2023,850,78000,100000,0.92
61,2024-09-07,RenewableEnergy,GoldStandard,2022,450,87000,91000,0.74
62,2024-09-11,Forestry,GoldStandard,2021,650,75000,97000,0.87
63,2024-09-15,RenewableEnergy,VERRA,2023,750,85000,92000,0.75
64,2024-09-19,Forestry,VERRA,2022,180,80000,95000,0.82
65,2024-09-23,RenewableEnergy,GoldStandard,2021,1200,92000,86000,0.69
66,2024-09-27,Forestry,GoldStandard,2023,250,77000,99000,0.90
67,2024-10-01,RenewableEnergy,VERRA,2022,500,86000,90000,0.73
68,2024-10-05,Forestry,VERRA,2021,450,79000,98000,0.83
69,2024-10-09,RenewableEnergy,GoldStandard,2023,800,83000,94000,0.81
70,2024-10-13,Forestry,GoldStandard,2022,150,75000,96000,0.89
71,2024-10-17,RenewableEnergy,VERRA,2021,1100,89000,88000,0.71
72,2024-10-21,Forestry,VERRA,2023,350,80000,97000,0.84
73,2024-10-25,RenewableEnergy,GoldStandard,2022,600,85000,92000,0.75
74,2024-10-29,Forestry,GoldStandard,2021,900,76000,95000,0.91
75,2024-11-02,RenewableEnergy,VERRA,2023,200,88000,90000,0.73
76,2024-11-06,Forestry,VERRA,2022,750,79000,99000,0.82
77,2024-11-10,RenewableEnergy,GoldStandard,2021,1050,86000,87000,0.70
78,2024-11-14,Forestry,GoldStandard,2023,400,77000,96000,0.88
79,2024-11-18,RenewableEnergy,VERRA,2022,550,84000,93000,0.78
80,2024-11-22,Forestry,VERRA,2021,300,81000,98000,0.83
81,2024-11-26,RenewableEnergy,GoldStandard,2023,850,90000,89000,0.72
82,2024-11-30,Forestry,GoldStandard,2022,950,78000,100000,0.92
83,2024-12-04,RenewableEnergy,VERRA,2021,450,87000,91000,0.74
84,2024-12-08,Forestry,VERRA,2023,650,75000,97000,0.87
85,2024-12-12,RenewableEnergy,GoldStandard,2022,750,85000,92000,0.75
86,2024-12-16,Forestry,GoldStandard,2021,180,80000,95000,0.82
87,2024-12-20,RenewableEnergy,VERRA,2023,1200,92000,86000,0.69
88,2024-12-24,Forestry,VERRA,2022,250,77000,99000,0.90
89,2024-12-28,RenewableEnergy,GoldStandard,2021,500,86000,90000,0.73
90,2025-01-01,Forestry,GoldStandard,2023,450,79000,98000,0.83
91,2025-01-05,RenewableEnergy,VERRA,2022,800,83000,94000,0.81
92,2025-01-09,Forestry,VERRA,2021,150,75000,96000,0.89
93,2025-01-13,RenewableEnergy,GoldStandard,2023,1100,89000,88000,0.71
94,2025-01-17,Forestry,GoldStandard,2022,350,80000,97000,0.84
95,2025-01-21,RenewableEnergy,VERRA,2021,600,85000,92000,0.75
96,2025-01-25,Forestry,VERRA,2023,900,76000,95000,0.91
97,2025-01-29,RenewableEnergy,GoldStandard,2022,200,88000,90000,0.73
98,2025-02-02,Forestry,GoldStandard,2021,750,79000,99000,0.82
99,2025-02-06,RenewableEnergy,VERRA,2023,1050,86000,87000,0.70
100,2025-02-10,Forestry,VERRA,2022,400,77000,96000,0.88
101,2025-02-14,RenewableEnergy,GoldStandard,2021,550,84000,93000,0.78
102,2025-02-18,Forestry,GoldStandard,2023,300,81000,98000,0.83
103,2025-02-22,RenewableEnergy,VERRA,2022,850,90000,89000,0.72
104,2025-02-26,Forestry,VERRA,2021,950,78000,100000,0.92
105,2025-03-02,RenewableEnergy,GoldStandard,2023,450,87000,91000,0.74
106,2025-03-06,Forestry,GoldStandard,2022,650,75000,97000,0.87
107,2025-03-10,RenewableEnergy,VERRA,2021,750,85000,92000,0.75
108,2025-03-14,Forestry,VERRA,2023,180,80000,95000,0.82
109,2025-03-18,RenewableEnergy,GoldStandard,2022,1200,92000,86000,0.69
110,2025-03-22,Forestry,GoldStandard,2021,250,77000,99000,0.90
111,2025-03-26,RenewableEnergy,VERRA,2023,500,86000,90000,0.73
112,2025-03-30,Forestry,VERRA,2022,450,79000,98000,0.83
113,2025-04-03,RenewableEnergy,GoldStandard,2021,800,83000,94000,0.81
114,2025-04-07,Forestry,GoldStandard,2023,150,75000,96000,0.89
115,2025-04-11,RenewableEnergy,VERRA,2022,1100,89000,88000,0.71
116,2025-04-15,Forestry,VERRA,2021,350,80000,97000,0.84
117,2025-04-19,RenewableEnergy,GoldStandard,2023,600,85000,92000,0.75
118,2025-04-23,Forestry,GoldStandard,2022,900,76000,95000,0.91
119,2025-04-27,RenewableEnergy,VERRA,2021,200,88000,90000,0.73
120,2025-05-01,Forestry,VERRA,2023,750,79000,99000,0.82
121,2025-05-05,RenewableEnergy,GoldStandard,2022,1050,86000,87000,0.70
122,2025-05-09,Forestry,GoldStandard,2021,400,77000,96000,0.88
123,2025-05-13,RenewableEnergy,VERRA,2023,550,84000,93000,0.78
124,2025-05-17,Forestry,VERRA,2022,300,81000,98000,0.83
125,2025-05-21,RenewableEnergy,GoldStandard,2021,850,90000,89000,0.72
126,2025-05-25,Forestry,GoldStandard,2023,950,78000,100000,0.92
127,2025-05-29,RenewableEnergy,VERRA,2022,450,87000,91000,0.74
128,2025-06-02,Forestry,VERRA,2021,650,75000,97000,0.87
129,2025-06-06,RenewableEnergy,GoldStandard,2023,750,85000,92000,0.75
130,2025-06-10,Forestry,GoldStandard,2022,180,80000,95000,0.82
131,2025-06-14,RenewableEnergy,VERRA,2021,1200,92000,86000,0.69
132,2025-06-18,Forestry,VERRA,2023,250,77000,99000,0.90
133,2025-06-22,RenewableEnergy,GoldStandard,2022,500,86000,90000,0.73
134,2025-06-26,Forestry,GoldStandard,2021,450,79000,98000,0.83
135,2025-06-30,RenewableEnergy,VERRA,2023,800,83000,94000,0.81
136,2025-07-04,Forestry,VERRA,2022,150,75000,96000,0.89
137,2025-07-08,RenewableEnergy,GoldStandard,2021,1100,89000,88000,0.71
138,2025-07-12,Forestry,GoldStandard,2023,350,80000,97000,0.84
139,2025-07-16,RenewableEnergy,VERRA,2022,600,85000,92000,0.75
140,2025-07-20,Forestry,VERRA,2021,900,76000,95000,0.91
141,2025-07-24,RenewableEnergy,GoldStandard,2023,200,88000,90000,0.73
142,2025-07-28,Forestry,GoldStandard,2022,750,79000,99000,0.82
143,2025-08-01,RenewableEnergy,VERRA,2021,1050,86000,87000,0.70
144,2025-08-05,Forestry,VERRA,2023,400,77000,96000,0.88
145,2025-08-09,RenewableEnergy,GoldStandard,2022,550,84000,93000,0.78
146,2025-08-13,Forestry,GoldStandard,2021,300,81000,98000,0.83
147,2025-08-17,RenewableEnergy,VERRA,2023,850,90000,89000,0.72
148,2025-08-21,Forestry,VERRA,2022,950,78000,100000,0.92
149,2025-08-25,RenewableEnergy,GoldStandard,2021,450,87000,91000,0.74
150,2025-08-29,Forestry,GoldStandard,2023,650,75000,97000,0.87
151,2025-09-02,RenewableEnergy,VERRA,2022,750,85000,92000,0.75
152,2025-09-06,Forestry,VERRA,2021,180,80000,95000,0.82
153,2025-09-10,RenewableEnergy,GoldStandard,2023,1200,92000,86000,0.69
154,2025-09-14,Forestry,GoldStandard,2022,250,77000,99000,0.90
155,2025-09-18,RenewableEnergy,VERRA,2021,500,86000,90000,0.73
156,2025-09-22,Forestry,VERRA,2023,450,79000,98000,0.83
157,2025-09-26,RenewableEnergy,GoldStandard,2022,800,83000,94000,0.81
158,2025-09-30,Forestry,GoldStandard,2021,150,75000,96000,0.89
159,2025-10-04,RenewableEnergy,VERRA,2023,1100,89000,88000,0.71
160,2025-10-08,Forestry,VERRA,2022,350,80000,97000,0.84
161,2025-10-12,RenewableEnergy,GoldStandard,2021,600,85000,92000,0.75
162,2025-10-16,Forestry,GoldStandard,2023,900,76000,95000,0.91
163,2025-10-20,RenewableEnergy,VERRA,2022,200,88000,90000,0.73
164,2025-10-24,Forestry,VERRA,2021,750,79000,99000,0.82
165,2025-10-28,RenewableEnergy,GoldStandard,2023,1050,86000,87000,0.70
166,2025-11-01,Forestry,GoldStandard,2022,400,77000,96000,0.88
167,2025-11-05,RenewableEnergy,VERRA,2021,550,84000,93000,0.78
168,2025-11-09,Forestry,VERRA,2023,300,81000,98000,0.83
169,2025-11-13,RenewableEnergy,GoldStandard,2022,850,90000,89000,0.72
170,2025-11-17,Forestry,GoldStandard,2021,950,78000,100000,0.92
171,2025-11-21,RenewableEnergy,VERRA,2023,450,87000,91000,0.74
172,2025-11-25,Forestry,VERRA,2022,650,75000,97000,0.87
173,2025-11-29,RenewableEnergy,GoldStandard,2021,750,85000,92000,0.75
174,2025-12-03,Forestry,GoldStandard,2023,180,80000,95000,0.82
175,2025-12-07,RenewableEnergy,VERRA,2022,1200,92000,86000,0.69
176,2025-12-11,Forestry,VERRA,2021,250,77000,99000,0.90
177,2025-12-15,RenewableEnergy,GoldStandard,2023,500,86000,90000,0.73
178,2025-12-19,Forestry,GoldStandard,2022,450,79000,98000,0.83
179,2025-12-23,RenewableEnergy,VERRA,2021,800,83000,94000,0.81
180,2025-12-27,Forestry,VERRA,2023,150,75000,96000,0.89
181,2024-01-03,RenewableEnergy,GoldStandard,2022,1100,89000,88000,0.71
182,2024-01-07,Forestry,GoldStandard,2021,350,80000,97000,0.84
183,2024-01-11,RenewableEnergy,VERRA,2023,600,85000,92000,0.75
184,2024-01-15,Forestry,VERRA,2022,900,76000,95000,0.91
185,2024-01-19,RenewableEnergy,GoldStandard,2021,200,88000,90000,0.73
186,2024-01-23,Forestry,GoldStandard,2023,750,79000,99000,0.82
187,2024-01-27,RenewableEnergy,VERRA,2022,1050,86000,87000,0.70
188,2024-01-31,Forestry,VERRA,2021,400,77000,96000,0.88
189,2024-02-04,RenewableEnergy,GoldStandard,2023,550,84000,93000,0.78
190,2024-02-08,Forestry,GoldStandard,2022,300,81000,98000,0.83
191,2024-02-12,RenewableEnergy,VERRA,2021,850,90000,89000,0.72
192,2024-02-16,Forestry,VERRA,2023,950,78000,100000,0.92
193,2024-02-20,RenewableEnergy,GoldStandard,2022,450,87000,91000,0.74
194,2024-02-24,Forestry,GoldStandard,2021,650,75000,97000,0.87
195,2024-02-28,RenewableEnergy,VERRA,2023,750,85000,92000,0.75
196,2024-03-03,Forestry,VERRA,2022,180,80000,95000,0.82
197,2024-03-07,RenewableEnergy,GoldStandard,2021,1200,92000,86000,0.69
198,2024-03-11,Forestry,GoldStandard,2023,250,77000,99000,0.90
199,2024-03-15,RenewableEnergy,VERRA,2022,500,86000,90000,0.73
200,2024-03-19,Forestry,VERRA,2021,450,79000,98000,0.83
201,2024-03-23,RenewableEnergy,GoldStandard,2023,800,83000,94000,0.81
202,2024-03-27,Forestry,GoldStandard,2022,150,75000,96000,0.89
203,2024-03-31,RenewableEnergy,VERRA,2021,1100,89000,88000,0.71
204,2024-04-04,Forestry,VERRA,2023,350,80000,97000,0.84
205,2024-04-08,RenewableEnergy,GoldStandard,2022,600,85000,92000,0.75
206,2024-04-12,Forestry,GoldStandard,2021,900,76000,95000,0.91
207,2024-04-16,RenewableEnergy,VERRA,2023,200,88000,90000,0.73
208,2024-04-20,Forestry,VERRA,2022,750,79000,99000,0.82
209,2024-04-24,RenewableEnergy,GoldStandard,2021,1050,86000,87000,0.70
210,2024-04-28,Forestry,GoldStandard,2023,400,77000,96000,0.88
211,2024-05-02,RenewableEnergy,VERRA,2022,550,84000,93000,0.78
212,2024-05-06,Forestry,VERRA,2021,300,81000,98000,0.83
213,2024-05-10,RenewableEnergy,GoldStandard,2023,850,90000,89000,0.72
214,2024-05-14,Forestry,GoldStandard,2022,950,78000,100000,0.92
215,2024-05-18,RenewableEnergy,VERRA,2021,450,87000,91000,0.74
216,2024-05-22,Forestry,VERRA,2023,650,75000,97000,0.87
217,2024-05-26,RenewableEnergy,GoldStandard,2022,750,85000,92000,0.75
218,2024-05-30,Forestry,GoldStandard,2021,180,80000,95000,0.82
219,2024-06-03,RenewableEnergy,VERRA,2023,1200,92000,86000,0.69
220,2024-06-07,Forestry,VERRA,2022,250,77000,99000,0.90
221,2024-06-11,RenewableEnergy,GoldStandard,2021,500,86000,90000,0.73
222,2024-06-15,Forestry,GoldStandard,2023,450,79000,98000,0.83
223,2024-06-19,RenewableEnergy,VERRA,2022,800,83000,94000,0.81
224,2024-06-23,Forestry,VERRA,2021,150,75000,96000,0.89
225,2024-06-27,RenewableEnergy,GoldStandard,2023,1100,89000,88000,0.71
226,2024-07-01,Forestry,GoldStandard,2022,350,80000,97000,0.84
227,2024-07-05,RenewableEnergy,VERRA,2021,600,85000,92000,0.75
228,2024-07-09,Forestry,VERRA,2023,900,76000,95000,0.91
229,2024-07-13,RenewableEnergy,GoldStandard,2022,200,88000,90000,0.73
230,2024-07-17,Forestry,GoldStandard,2021,750,79000,99000,0.82
231,2024-07-21,RenewableEnergy,VERRA,2023,1050,86000,87000,0.70
232,2024-07-25,Forestry,VERRA,2022,400,77000,96000,0.88
233,2024-07-29,RenewableEnergy,GoldStandard,2021,550,84000,93000,0.78
234,2024-08-02,Forestry,GoldStandard,2023,300,81000,98000,0.83
235,2024-08-06,RenewableEnergy,VERRA,2022,850,90000,89000,0.72
236,2024-08-10,Forestry,VERRA,2021,950,78000,100000,0.92
237,2024-08-14,RenewableEnergy,GoldStandard,2023,450,87000,91000,0.74
238,2024-08-18,Forestry,GoldStandard,2022,650,75000,97000,0.87
239,2024-08-22,RenewableEnergy,VERRA,2021,750,85000,92000,0.75
240,2024-08-26,Forestry,VERRA,2023,180,80000,95000,0.82
241,2024-08-30,RenewableEnergy,GoldStandard,2022,1200,92000,86000,0.69
242,2024-09-03,Forestry,GoldStandard,2021,250,77000,99000,0.90
243,2024-09-07,RenewableEnergy,VERRA,2023,500,86000,90000,0.73
244,2024-09-11,Forestry,VERRA,2022,450,79000,98000,0.83
245,2024-09-15,RenewableEnergy,GoldStandard,2021,800,83000,94000,0.81
246,2024-09-19,Forestry,GoldStandard,2023,150,75000,96000,0.89
247,2024-09-23,RenewableEnergy,VERRA,2022,1100,89000,88000,0.71
248,2024-09-27,Forestry,VERRA,2021,350,80000,97000,0.84
249,2024-10-01,RenewableEnergy,GoldStandard,2023,600,85000,92000,0.75
250,2024-10-05,Forestry,GoldStandard,2022,900,76000,95000,0.91
251,2024-10-09,RenewableEnergy,VERRA,2021,200,88000,90000,0.73
252,2024-10-13,Forestry,VERRA,2023,750,79000,99000,0.82
253,2024-10-17,RenewableEnergy,GoldStandard,2022,1050,86000,87000,0.70
254,2024-10-21,Forestry,GoldStandard,2021,400,77000,96000,0.88
255,2024-10-25,RenewableEnergy,VERRA,2023,550,84000,93000,0.78
256,2024-10-29,Forestry,VERRA,2022,300,81000,98000,0.83
257,2024-11-02,RenewableEnergy,GoldStandard,2021,850,90000,89000,0.72
258,2024-11-06,Forestry,GoldStandard,2023,950,78000,100000,0.92
259,2024-11-10,RenewableEnergy,VERRA,2022,450,87000,91000,0.74
260,2024-11-14,Forestry,VERRA,2021,650,75000,97000,0.87
261,2024-11-18,RenewableEnergy,GoldStandard,2023,750,85000,92000,0.75
262,2024-11-22,Forestry,GoldStandard,2022,180,80000,95000,0.82
263,2024-11-26,RenewableEnergy,VERRA,2021,1200,92000,86000,0.69
264,2024-11-30,Forestry,VERRA,2023,250,77000,99000,0.90
265,2024-12-04,RenewableEnergy,GoldStandard,2022,500,86000,90000,0.73
266,2024-12-08,Forestry,GoldStandard,2021,450,79000,98000,0.83
267,2024-12-12,RenewableEnergy,VERRA,2023,800,83000,94000,0.81
268,2024-12-16,Forestry,VERRA,2022,150,75000,96000,0.89
269,2024-12-20,RenewableEnergy,GoldStandard,2021,1100,89000,88000,0.71
270,2024-12-24,Forestry,GoldStandard,2023,350,80000,97000,0.84
271,2024-12-28,RenewableEnergy,VERRA,2022,600,85000,92000,0.75
272,2025-01-01,Forestry,VERRA,2021,900,76000,95000,0.91
273,2025-01-05,RenewableEnergy,GoldStandard,2023,200,88000,90000,0.73
274,2025-01-09,Forestry,GoldStandard,2022,750,79000,99000,0.82
275,2025-01-13,RenewableEnergy,VERRA,2021,1050,86000,87000,0.70
276,2025-01-17,Forestry,VERRA,2023,400,77000,96000,0.88
277,2025-01-21,RenewableEnergy,GoldStandard,2022,550,84000,93000,0.78
278,2025-01-25,Forestry,GoldStandard,2021,300,81000,98000,0.83
279,2025-01-29,RenewableEnergy,VERRA,2023,850,90000,89000,0.72
280,2025-02-02,Forestry,VERRA,2022,950,78000,100000,0.92
281,2025-02-06,RenewableEnergy,GoldStandard,2021,450,87000,91000,0.74
282,2025-02-10,Forestry,GoldStandard,2023,650,75000,97000,0.87
283,2025-02-14,RenewableEnergy,VERRA,2022,750,85000,92000,0.75
284,2025-02-18,Forestry,VERRA,2021,180,80000,95000,0.82
285,2025-02-22,RenewableEnergy,GoldStandard,2023,1200,92000,86000,0.69
286,2025-02-26,Forestry,GoldStandard,2022,250,77000,99000,0.90
287,2025-03-02,RenewableEnergy,VERRA,2021,500,86000,90000,0.73
288,2025-03-06,Forestry,VERRA,2023,450,79000,98000,0.83
289,2025-03-10,RenewableEnergy,GoldStandard,2022,800,83000,94000,0.81
290,2025-03-14,Forestry,GoldStandard,2021,150,75000,96000,0.89
291,2025-03-18,RenewableEnergy,VERRA,2023,1100,89000,88000,0.71
292,2025-03-22,Forestry,VERRA,2022,350,80000,97000,0.84
293,2025-03-26,RenewableEnergy,GoldStandard,2021,600,85000,92000,0.75
294,2025-03-30,Forestry,GoldStandard,2023,900,76000,95000,0.91
295,2025-04-03,RenewableEnergy,VERRA,2022,200,88000,90000,0.73
296,2025-04-07,Forestry,VERRA,2021,750,79000,99000,0.82
297,2025-04-11,RenewableEnergy,GoldStandard,2023,1050,86000,87000,0.70
298,2025-04-15,Forestry,GoldStandard,2022,400,77000,96000,0.88
299,2025-04-19,RenewableEnergy,VERRA,2021,550,84000,93000,0.78
300,2025-04-23,Forestry,GoldStandard,2023,300,81000,98000,0.83
301,2025-04-27,RenewableEnergy,VERRA,2022,850,90000,89000,0.72
302,2025-05-01,Forestry,GoldStandard,2021,950,78000,100000,0.92
303,2025-05-05,RenewableEnergy,VERRA,2023,450,87000,91000,0.74
304,2025-05-09,Forestry,GoldStandard,2022,650,75000,97000,0.87
305,2025-05-13,RenewableEnergy,VERRA,2021,750,85000,92000,0.75
306,2025-05-17,Forestry,VERRA,2023,180,80000,95000,0.82
307,2025-05-21,RenewableEnergy,GoldStandard,2022,1200,92000,86000,0.69
308,2025-05-25,Forestry,GoldStandard,2021,250,77000,99000,0.90
309,2025-05-29,RenewableEnergy,VERRA,2023,500,86000,90000,0.73
310,2025-06-02,Forestry,VERRA,2022,450,79000,98000,0.83
311,2025-06-06,RenewableEnergy,GoldStandard,2021,800,83000,94000,0.81
312,2025-06-10,Forestry,GoldStandard,2023,150,75000,96000,0.89
313,2025-06-14,RenewableEnergy,VERRA,2022,1100,89000,88000,0.71
314,2025-06-18,Forestry,VERRA,2021,350,80000,97000,0.84
315,2025-06-22,RenewableEnergy,GoldStandard,2023,600,85000,92000,0.75
316,2025-06-26,Forestry,GoldStandard,2022,900,76000,95000,0.91
317,2025-06-30,RenewableEnergy,VERRA,2021,200,88000,90000,0.73
318,2025-07-04,Forestry,GoldStandard,2023,750,79000,99000,0.82
319,2025-07-08,RenewableEnergy,VERRA,2022,1050,86000,87000,0.70
320,2025-07-12,Forestry,GoldStandard,2021,400,77000,96000,0.88
321,2025-07-16,RenewableEnergy,VERRA,2023,550,84000,93000,0.78
322,2025-07-20,Forestry,VERRA,2022,300,81000,98000,0.83
323,2025-07-24,RenewableEnergy,GoldStandard,2021,850,90000,89000,0.72
324,2025-07-28,Forestry,GoldStandard,2023,950,78000,100000,0.92
325,2025-08-01,RenewableEnergy,VERRA,2022,450,87000,91000,0.74
326,2025-08-05,Forestry,GoldStandard,2021,650,75000,97000,0.87
327,2025-08-09,RenewableEnergy,VERRA,2023,750,85000,92000,0.75
328,2025-08-13,Forestry,GoldStandard,2022,180,80000,95000,0.82
329,2025-08-17,RenewableEnergy,VERRA,2021,1200,92000,86000,0.69
330,2025-08-21,Forestry,GoldStandard,2023,250,77000,99000,0.90
331,2025-08-25,RenewableEnergy,VERRA,2022,500,86000,90000,0.73
332,2025-08-29,Forestry,GoldStandard,2021,450,79000,98000,0.83
333,2025-09-02,RenewableEnergy,VERRA,2023,800,83000,94000,0.81
334,2025-09-06,Forestry,GoldStandard,2022,150,75000,96000,0.89
335,2025-09-10,RenewableEnergy,VERRA,2021,1100,89000,88000,0.71
336,2025-09-14,Forestry,GoldStandard,2023,350,80000,97000,0.84
337,2025-09-18,RenewableEnergy,VERRA,2022,600,85000,92000,0.75
338,2025-09-22,Forestry,GoldStandard,2021,900,76000,95000,0.91
339,2025-09-26,RenewableEnergy,VERRA,2023,200,88000,90000,0.73
340,2025-09-30,Forestry,GoldStandard,2022,750,79000,99000,0.82
341,2025-10-04,RenewableEnergy,VERRA,2021,1050,86000,87000,0.70
342,2025-10-08,Forestry,GoldStandard,2023,400,77000,96000,0.88
343,2025-10-12,RenewableEnergy,VERRA,2022,550,84000,93000,0.78
344,2025-10-16,Forestry,GoldStandard,2021,300,81000,98000,0.83
345,2025-10-20,RenewableEnergy,VERRA,2023,850,90000,89000,0.72
346,2025-10-24,Forestry,GoldStandard,2022,950,78000,100000,0.92
347,2025-10-28,RenewableEnergy,VERRA,2021,450,87000,91000,0.74
348,2025-11-01,Forestry,GoldStandard,2023,650,75000,97000,0.87
349,2025-11-05,RenewableEnergy,VERRA,2022,750,85000,92000,0.75
350,2025-11-09,Forestry,GoldStandard,2021,180,80000,95000,0.82
351,2025-11-13,RenewableEnergy,VERRA,2023,1200,92000,86000,0.69
352,2025-11-17,Forestry,GoldStandard,2022,250,77000,99000,0.90
353,2025-11-21,RenewableEnergy,VERRA,2021,500,86000,90000,0.73
354,2025-11-25,Forestry,GoldStandard,2023,450,79000,98000,0.83
355,2025-11-29,RenewableEnergy,VERRA,2022,800,83000,94000,0.81
356,2025-12-03,Forestry,GoldStandard,2021,150,75000,96000,0.89
357,2025-12-07,RenewableEnergy,VERRA,2023,1100,89000,88000,0.71
358,2025-12-11,Forestry,GoldStandard,2022,350,80000,97000,0.84
359,2025-12-15,RenewableEnergy,VERRA,2021,600,85000,92000,0.75
360,2025-12-19,Forestry,GoldStandard,2023,900,76000,95000,0.91
361,2025-12-23,RenewableEnergy,VERRA,2022,200,88000,90000,0.73
362,2025-12-27,Forestry,GoldStandard,2021,750,79000,99000,0.82
363,2024-01-02,RenewableEnergy,GoldStandard,2023,1050,86000,87000,0.70
364,2024-01-06,Forestry,GoldStandard,2022,400,77000,96000,0.88
365,2024-01-10,RenewableEnergy,VERRA,2021,550,84000,93000,0.78
366,2024-01-14,Forestry,GoldStandard,2023,300,81000,98000,0.83
367,2024-01-18,RenewableEnergy,VERRA,2022,850,90000,89000,0.72
368,2024-01-22,Forestry,GoldStandard,2021,950,78000,100000,0.92
369,2024-01-26,RenewableEnergy,VERRA,2023,450,87000,91000,0.74
370,2024-01-30,Forestry,GoldStandard,2022,650,75000,97000,0.87
371,2024-02-03,RenewableEnergy,VERRA,2021,750,85000,92000,0.75
372,2024-02-07,Forestry,GoldStandard,2023,180,80000,95000,0.82
373,2024-02-11,RenewableEnergy,VERRA,2022,1200,92000,86000,0.69
